Week No.,Date,Begin,Delivered,End,Used,Cost,AvgTempC,Delivery
1,2019-09-16,34,0.00,5.00,29.00,24.94,20.142857142857100,48.00
2,2019-09-23,5.00,48.00,25.00,28.00,24.08,18.142857142857100,0.00
3,2019-09-30,25.00,0.00,20.00,5.00,4.30,14.142857142857100,0.00
4,2019-10-07,20.00,0.00,20.00,0.00,0.00,13.571428571428600,0.00
5,2019-10-14,20.00,0.00,0.00,20.00,17.20,9.857142857142860,72.00
6,2019-10-21,0.00,72.00,48.00,24.00,20.64,11.285714285714300,0.00
7,2019-10-28,48.00,0.00,102.00,-54.00,-46.44,8.142857142857140,0.00
8,2019-11-04,102.00,0.00,68.00,34.00,29.24,3.2857142857142900,0.00
9,2019-11-11,68.00,0.00,40.00,28.00,24.08,-3.857142857142860,24.00
10,2019-11-18,40.00,24.00,47.00,17.00,14.62,2.5714285714285700,0.00
11,2019-11-25,47.00,0.00,11.00,36.00,30.96,2.4285714285714300,0.00
12,2019-12-02,11.00,0.00,24.00,-13.00,-11.18,-0.8571428571428570,0.00
13,2019-12-09,24.00,0.00,7.00,17.00,14.62,-0.14285714285714300,72.00
14,2019-12-16,7.00,72.00,97.00,-18.00,-15.48,-3.5714285714285700,0.00
15,2019-12-23,97.00,0.00,26.00,71.00,61.06,2.142857142857140,48.00
16,2019-12-30,26.00,48.00,47.00,27.00,23.22,1.7142857142857100,0.00
17,2020-01-06,47.00,0.00,23.00,24.00,20.64,-1.4285714285714300,0.00
18,2020-01-13,23.00,0.00,1.00,22.00,18.92,-3.2857142857142900,24.00
19,2020-01-20,1.00,24.00,10.00,15.00,12.90,-2.0,18.00
20,2020-01-27,10.00,18.00,0.00,28.00,24.08,-2.4285714285714300,48.00
21,2020-02-03,0.00,48.00,45.00,3.00,2.58,-5.0,0.00
22,2020-02-10,45.00,0.00,29.00,16.00,13.76,-3.5714285714285700,48.00
23,2020-02-17,29.00,48.00,54.00,23.00,19.78,-3.4285714285714300,0.00
24,2020-02-24,54.00,0.00,49.00,5.00,4.30,-2.4285714285714300,0
25,2020-03-02,,,,,,1.2857142857142900,48.00
26,2020-03-09,29.00,48.00,52.00,25.00,21.50,3.4285714285714300,0.00
27,2020-03-16,52.00,0.00,36.00,16.00,13.76,2.4285714285714300,48.00
28,2020-03-23,36.00,48.00,52.00,32.00,28.24,6.285714285714290,0.00
29,2020-03-30,52.00,0.00,52.00,0.00,0.00,6.571428571428570,0.00
30,2020-04-06,56.00,0.00,25.00,31.00,27.59,6.285714285714290,48.00
31,2020-04-13,25.00,48.00,46.00,27.00,24.03,5.428571428571430,0.00
32,2020-04-20,46.00,0.00,23.00,23.00,20.47,4.571428571428570,72.00
33,2020-04-27,23.00,72.00,75.00,20.00,17.00,10.571428571428600,0.00
34,2020-05-04,75.00,0.00,52.00,23.00,20.47,6.571428571428570,48.00
35,2020-05-11,52.00,48.00,52.00,48.00,42.72,9.857142857142860,0.00
36,2020-05-18,52.00,0.00,29.00,23.00,20.47,14.571428571428600,72.00
37,2020-05-25,29.00,72.00,0.00,101.00,16.02,20.0,0.00
38,2020-06-01,30.00,0.00,0.00,30.00,25.20,18.714285714285700,48
39,2020-06-08,0,48,24,24,20.16,18.857142857142900,0
40,2020-06-15,24,0,19,5,4.20,21.428571428571400,0
41,2020-06-22,19,0,0,19,15.96,22.857142857142900,24
42,2020-06-29,0,24,0,24,20.16,26.0,48
43,2020-07-06,0,48,28,20,17.20,26.714285714285700,0
44,2020-07-13,28,0,15,13,11.18,25.0,48
45,2020-07-20,15,48,65,-2,-1.72,24.571428571428600,48
46,2020-07-27,65,48,83,30,25.80,25.0,0
47,2020-08-03,83,0,57,26,22.36,23.0,0
48,2020-08-10,57,0,40,17,14.62,24.857142857142900,0
49,2020-08-17,40,0,17,23,19.78,23.285714285714300,0
50,2020-08-24,17,0,0,17,14.62,23.142857142857100,48
51,2020-08-31,0,48,25,23,19.78,21.571428571428600,0
52,2020-09-07,25,0,14,11,9.46,18.0,48
53,2020-09-14,14,48,45,17,14.62,15.142857142857100,0
54,2020-09-21,45,0,31,14,12.04,20.142857142857100,24
55,2020-09-28,31,24,29,26,22.36,14.714285714285700,0
56,2020-10-05,29,0,16,13,11.18,13.857142857142900,0
57,2020-10-12,16,0,0,16,13.76,12.714285714285700,0
58,2020-10-19,0,0,16,-16,13.76,10.714285714285700,0
59,2020-10-26,16,0,0,16,13.76,5.571428571428570,24
60,2020-11-02,0,24,28,-4,-4.48,10.428571428571400,48
61,2020-11-09,28,48,48,28,24.08,10.857142857142900,0
62,2020-11-16,48,0,29,19,16.34,4.857142857142860,48
63,2020-11-23,29,48,36,41,35.26,4.571428571428570,0
64,2020-11-30,36,0,9,27,23.22,1.5714285714285700,0
65,2020-12-07,9,0,15,-6,-5.16,2.2857142857142900,72
66,2020-12-14,15,72,56,31,26.66,-1.5714285714285700,0
67,2020-12-21,56,0,34,22,18.92,0.5714285714285710,0
68,2020-12-28,34,0,5,29,24.94,0.14285714285714300,48
69,2021-01-04,5,48,25,28,24.08,-2.2857142857142900,0
70,2021-01-11,25,0,20,5,4.30,0.8571428571428570,0
71,2021-01-18,20,0,20,0,0,-3.857142857142860,0
72,2021-01-25,20,0,0,20,17.2,-6.857142857142860,72
73,2021-02-01,0,72,48,24,20.64,-5.285714285714290,0
74,2021-02-08,48,0,102,-54,-46.44,-9.0,0
75,2021-02-15,102,0,68,34,29.24,-8.0,0
76,2021-02-22,68,0,40,28,24.08,0.7142857142857140,24
77,2021-03-01,40,24,47,17,14.62,-3.4285714285714300,0
78,2021-03-08,47,0,11,36,30.96,3.4285714285714300,0
79,2021-03-15,11,0,24,-13,-11.18,2.5714285714285700,0
80,2021-03-22,24,0,7,17,14.62,7.571428571428570,72
81,2021-03-29,7,72,97,-18,-15.48,4.142857142857140,0
82,2021-04-05,97,0,26,71,61.06,9.285714285714290,48
83,2021-04-12,26,48,47,27,23.22,7.714285714285710,0
84,2021-04-19,47,0,23,24,20.64,6.571428571428570,0
85,2021-04-26,23,0,1,22,18.92,8.0,24
86,2021-05-03,1,24,10,15,12.9,8.0,18
87,2021-05-10,10,18,0,28,24.08,11.714285714285700,48
88,2021-05-17,0,48,45,3,2.58,18.142857142857100,0
89,2021-05-24,45,0,29,16,13.76,15.142857142857100,48
90,2021-05-31,29,48,54,23,19.78,18.714285714285700,0
91,2021-06-07,54,0,49,5,4.3,21.285714285714300,
92,2021-06-14,,,,,,18.857142857142900,48
93,2021-06-21,29,48,52,25,21.50,21.0,0
94,2021-06-28,52,0,36,16,13.76,21.428571428571400,48
95,2021-07-05,36,48,52,32,28.24,20.142857142857100,0
96,2021-07-12,52,0,52,0,0,23.0,
97,2021-07-19,,,,,,23.285714285714300,0
98,2021-07-26,56,0,25,31,27.59,21.142857142857100,48
99,2021-08-02,25,48,46,27,24.03,23.285714285714300,0
100,2021-08-09,46,0,23,23,20.47,25.428571428571400,
